Package Name,Package Size,Dependency,Dependency Size
curl,906688,,
curl,,glibc-2.37-4.fc38.aarch64,9985332
curl,,libcurl-minimal-8.0.1-3.fc38.aarch64,611966
curl,,zlib-1.2.13-3.fc38.aarch64,306235
curl,,rpmlib(CompressedFileNames),missing
curl,,rpmlib(FileDigests),missing
curl,,rpmlib(PayloadFilesHavePrefix),missing
curl,,rpmlib(PayloadIsZstd),missing
openssh,1972540,,
openssh,,util-linux-2.38.1-4.fc38.aarch64,24403609
openssh,,audit-libs-3.1.1-1.fc38.aarch64,560921
openssh,,openssh-9.0p1-16.fc38.aarch64,1972540
openssh,,glibc-2.37-4.fc38.aarch64,9985332
openssh,,openssl-libs-3.0.9-1.fc38.aarch64,7350122
openssh,,libselinux-3.5-1.fc38.aarch64,272285
openssh,,zlib-1.2.13-3.fc38.aarch64,306235
openssh,,rpmlib(CompressedFileNames),missing
openssh,,rpmlib(FileDigests),missing
openssh,,rpmlib(PayloadFilesHavePrefix),missing
openssh,,rpmlib(PayloadIsZstd),missing
