Package Name,Size,Percentage of Total Size
libreoffice-core,330092887,4.372600
firefox,233857107,3.097800
glibc-all-langpacks,228747891,3.030100
java-17-openjdk-headless,221441167,2.933300
edk2-aarch64,216111137,2.862700
kernel-core,135358899,1.793000
kernel-core,133108080,1.763200
ibus,117203416,1.552500
llvm-libs,116716560,1.546100
containerd.io,101168184,1.340100
linux-firmware,99158329,1.313500
cldr-emoji-annotation,98675354,1.307100
gcc,86619817,1.147400
mesa-dri-drivers,84137412,1.114500
docker-ce,77927577,1.032200
kernel-devel,72644982,.962300
kernel-devel,70856626,.938600
google-noto-sans-cjk-vf-fonts,64613102,.855900
geolite2-city,62712603,.830700
docker-buildx-plugin,62168336,.823500
docker-compose-plugin,61407998,.813400
webkit2gtk4.1,60765273,.804900
webkitgtk6.0,60623532,.803000
firefox-langpacks,57722650,.764600
python3-libs,57265389,.758500
gnome-user-docs,56056706,.742500
libpinyin-data,51446292,.681400
glibc-gconv-extra,51442372,.681400
podman,50273088,.665900
qt6-qtdeclarative,49002825,.649100
kernel-modules,47443156,.628400
kernel-modules,47159260,.624700
guile22,46403113,.614600
iwlwifi-mvm-firmware,43894286,.581400
ibus-libzhuyin,42306970,.560400
qemu-user-static-mips,39184962,.519000
libicu,37910967,.502100
mesa-vulkan-drivers,37730376,.499800
unicode-ucd,34844147,.461500
frei0r-plugins,33550569,.444400
kernel-modules-core,32377635,.428800
ImageMagick-libs,32050948,.424500
kernel-modules-core,32005704,.423900
docker-ce-cli,31979323,.423600
hplip,31112910,.412100
binutils,30758909,.407400
flite,29792512,.394600
gutenprint,29420134,.389700
cpp,29380495,.389100
speech-dispatcher,28717825,.380400
graphviz,28663497,.379600
libreoffice-help-en,28650461,.379500
libreoffice-calc,28182071,.373300
qt6-qtbase-gui,27918068,.369800
anthy-unicode,27676735,.366600
gstreamer1-plugins-bad-free,27092615,.358800
libvirt-libs,26395279,.349600
qemu-system-aarch64-core,25898940,.343000
amd-gpu-firmware,25734929,.340900
gnome-backgrounds,25515937,.338000
qt5-qtbase-gui,25362862,.335900
systemd,25266842,.334700
libgs,25210282,.333900
qemu-user-static-xtensa,24442756,.323700
util-linux,24403609,.323200
gnome-control-center,23842064,.315800
libgweather4,23411205,.310100
httpd-core,23065600,.305500
openblas-openmp,23020540,.304900
atheros-firmware,22857583,.302700
sane-backends-drivers-cameras,22602345,.299400
gtk3,22340629,.295900
git-core,21835859,.289200
coreutils,21788178,.288600
mythes-en,21736328,.287900
qemu-user-static-ppc,21587632,.285900
