Package Name,Package Size (KB),Dependency,Dependency Size (KB)
container-selinux,68769,,,
container-selinux,,bash-5.2.15-3.fc38.aarch64,8697516
container-selinux,,libselinux-utils-3.5-1.fc38.aarch64,3677300
container-selinux,,policycoreutils-3.5-1.fc38.aarch64,2892457
container-selinux,,rpmlib(CompressedFileNames),missing
container-selinux,,rpmlib(FileDigests),missing
container-selinux,,rpmlib(PayloadFilesHavePrefix),missing
container-selinux,,rpmlib(PayloadIsZstd),missing
container-selinux,,sed-4.8-12.fc38.aarch64,965343
container-selinux,,selinux-policy-38.21-1.fc38.noarch,25743
container-selinux,,selinux-policy-38.21-1.fc38.noarch,25743
container-selinux,,selinux-policy-targeted-38.21-1.fc38.noarch,18827831
containerd.io,101168184,,,
containerd.io,,bash-5.2.15-3.fc38.aarch64,8697516
containerd.io,,container-selinux-2.219.0-1.fc38.noarch,68769
containerd.io,,libseccomp-2.5.3-4.fc38.aarch64,249484
containerd.io,,rpmlib(CompressedFileNames),missing
containerd.io,,rpmlib(FileDigests),missing
containerd.io,,rpmlib(PayloadFilesHavePrefix),missing
containerd.io,,rpmlib(PayloadIsZstd),missing
containerd.io,,systemd-253.7-1.fc38.aarch64,25266842
