Package Name,Size,Percentage of Total Size
libreoffice-core,330092887,4.372638
firefox,233857107,3.097833
glibc-all-langpacks,228747891,3.030152
java-17-openjdk-headless,221441167,2.933362
edk2-aarch64,216111137,2.862757
kernel-core,135358899,1.793057
kernel-core,133108080,1.763241
ibus,117203416,1.552557
llvm-libs,116716560,1.546108
containerd.io,101168184,1.340144
linux-firmware,99158329,1.313520
cldr-emoji-annotation,98675354,1.307122
gcc,86619817,1.147426
mesa-dri-drivers,84137412,1.114542
docker-ce,77927577,1.032282
kernel-devel,72644982,0.962306
kernel-devel,70856626,0.938616
google-noto-sans-cjk-vf-fonts,64613102,0.855910
geolite2-city,62712603,0.830734
docker-buildx-plugin,62168336,0.823525
docker-compose-plugin,61407998,0.813453
webkit2gtk4.1,60765273,0.804939
webkitgtk6.0,60623532,0.803061
firefox-langpacks,57722650,0.764634
python3-libs,57265389,0.758577
gnome-user-docs,56056706,0.742566
libpinyin-data,51446292,0.681493
glibc-gconv-extra,51442372,0.681441
podman,50273088,0.665952
qt6-qtdeclarative,49002825,0.649125
kernel-modules,47443156,0.628465
kernel-modules,47159260,0.624704
guile22,46403113,0.614688
iwlwifi-mvm-firmware,43894286,0.581454
ibus-libzhuyin,42306970,0.560427
qemu-user-static-mips,39184962,0.519071
libicu,37910967,0.502195
mesa-vulkan-drivers,37730376,0.499803
unicode-ucd,34844147,0.461570
frei0r-plugins,33550569,0.444434
kernel-modules-core,32377635,0.428896
ImageMagick-libs,32050948,0.424569
kernel-modules-core,32005704,0.423970
docker-ce-cli,31979323,0.423620
hplip,31112910,0.412143
binutils,30758909,0.407454
flite,29792512,0.394652
gutenprint,29420134,0.389719
cpp,29380495,0.389194
speech-dispatcher,28717825,0.380416
graphviz,28663497,0.379696
libreoffice-help-en,28650461,0.379524
libreoffice-calc,28182071,0.373319
qt6-qtbase-gui,27918068,0.369822
anthy-unicode,27676735,0.366625
gstreamer1-plugins-bad-free,27092615,0.358887
libvirt-libs,26395279,0.349650
qemu-system-aarch64-core,25898940,0.343075
amd-gpu-firmware,25734929,0.340903
gnome-backgrounds,25515937,0.338002
qt5-qtbase-gui,25362862,0.335974
systemd,25266842,0.334702
libgs,25210282,0.333953
qemu-user-static-xtensa,24442756,0.323786
util-linux,24403609,0.323267
gnome-control-center,23842064,0.315828
libgweather4,23411205,0.310121
httpd-core,23065600,0.305543
openblas-openmp,23020540,0.304946
atheros-firmware,22857583,0.302787
sane-backends-drivers-cameras,22602345,0.299406
gtk3,22340629,0.295939
git-core,21835859,0.289253
coreutils,21788178,0.288621
mythes-en,21736328,0.287934
qemu-user-static-ppc,21587632,0.285965
javascriptcoregtk4.1,21435918,0.283955
javascriptcoregtk6.0,21433076,0.283917
sane-backends-drivers-scanners,21193080,0.280738
gtk4,21179849,0.280563
samba-client-libs,20965212,0.277720
qt5-qtdeclarative,20565955,0.272431
qemu-user-static-aarch64,20149926,0.266920
iptables-libs,20141226,0.266805
iso-codes,19327204,0.256021
systemd-udev,18914438,0.250554
selinux-policy-targeted,18827831,0.249406
libphonenumber,18438116,0.244244
podman-gvproxy,18053942,0.239155
brltty,17581820,0.232901
git-core-doc,17251475,0.228525
qemu-user-static-sparc,17240888,0.228385
orca,16868937,0.223458
gstreamer1-plugins-good,16715798,0.221429
evolution-data-server,15931110,0.211034
glib2,15926097,0.210968
docker-ce-rootless-extras,15457264,0.204758
gegl04,15356175,0.203418
adobe-mappings-cmap,15045977,0.199309
python3-pip,14998608,0.198682
cups,14811921,0.196209
qemu-user-static-arm,14799275,0.196041
nautilus,14617256,0.193630
selinux-policy-devel,14553009,0.192779
rhythmbox,14543347,0.192651
pipewire-libs,14453700,0.191464
qemu-user-static-riscv,14244292,0.188690
mutter,14210579,0.188243
lpcnetfreedv,14172419,0.187738
gdb-headless,14142804,0.187345
appstream-data,13916829,0.184352
capstone,13649471,0.180810
anaconda-core,13280677,0.175925
libreoffice-writer,13181626,0.174613
espeak-ng,13125654,0.173871
abseil-cpp,13081047,0.173281
gstreamer1-plugins-base,13036397,0.172689
poppler-data,12947088,0.171506
qemu-user-static-x86,12942986,0.171452
ModemManager,12813692,0.169739
mesa-va-drivers,12702865,0.168271
qt6-qtbase,12699624,0.168228
liblouis,12603677,0.166957
gnome-shell,12554276,0.166303
gnupg2,12421367,0.164542
mozjs102,12279757,0.162666
adwaita-cursor-theme,12103345,0.160329
libreoffice-ure,12052436,0.159655
gnome-software,12000977,0.158973
qt5-qtbase,11948145,0.158273
libnl3-cli,11806757,0.156400
pam,11723249,0.155294
f38-backgrounds-base,11681192,0.154737
perl-Encode,11422234,0.151307
coreutils-common,11297071,0.149649
qemu-user-static-sh4,11184238,0.148154
zenity,11181059,0.148112
qemu-user-static-microblaze,11073820,0.146691
librados2,10840764,0.143604
google-noto-emoji-color-fonts,10768525,0.142647
qemu-img,10723549,0.142052
libgphoto2,10711197,0.141888
librbd1,10689931,0.141606
tracker-miners,10486641,0.138913
evince,10456048,0.138508
perl-libs,10369455,0.137361
flexiblas-netlib,10239511,0.135640
file-libs,10158873,0.134571
NetworkManager-libnm,10140481,0.134328
brcmfmac-firmware,9988222,0.132311
glibc,9985332,0.132273
qt5-qtquickcontrols2,9947102,0.131766
cracklib-dicts,9725179,0.128826
sssd-common,9717380,0.128723
qt5-qtwayland,9425581,0.124858
qt6-qtwayland,9393116,0.124428
gnome-settings-daemon,9322177,0.123488
hwdata,9241993,0.122426
gnome-terminal,9139591,0.121069
netavark,9112864,0.120715
totem,9057382,0.119980
python3-setuptools,8919455,0.118153
libavcodec-free,8761302,0.116058
bash,8697516,0.115213
intel-gpu-firmware,8652099,0.114612
evolution-data-server-langpacks,8633883,0.114370
qemu-user-static-hexagon,8562994,0.113431
ibus-anthy,8479181,0.112321
eog,7987933,0.105814
grub2-tools,7853472,0.104033
freerdp-libs,7806131,0.103405
fwupd,7680683,0.101744
open-vm-tools,7668499,0.101582
mt7xxx-firmware,7532461,0.099780
toolbox,7433194,0.098465
shadow-utils,7422859,0.098328
gnome-calculator,7404193,0.098081
opensc,7396201,0.097975
openssl-libs,7350122,0.097365
gnome-disk-utility,7212424,0.095541
e2fsprogs,7196284,0.095327
NetworkManager,7103281,0.094095
gstreamer1,7042034,0.093284
glusterfs,6991065,0.092608
libhangul,6969987,0.092329
rygel,6921244,0.091684
xkeyboard-config,6882554,0.091171
flatpak,6741609,0.089304
gdm,6712596,0.088920
gnome-boxes,6701269,0.088770
btrfs-progs,6688361,0.088599
system-config-printer-libs,6569152,0.087020
google-droid-sans-fonts,6554442,0.086825
grub2-tools-extra,6529620,0.086496
wpa_supplicant,6465829,0.085651
babl,6404695,0.084841
libtimezonemap,6388395,0.084625
sudo,6351586,0.084137
libmwaw,6342174,0.084013
python3-policycoreutils,6250397,0.082797
util-linux-core,6182485,0.081897
qemu-user-static-s390x,6109800,0.080935
kernel-headers,6105382,0.080876
grub2-efi-aa64,6097447,0.080771
grub2-efi-aa64-cdboot,6096364,0.080757
glibc-langpack-en,5974818,0.079147
python3-lxml,5963650,0.078999
spirv-tools-libs,5950658,0.078827
cups-filters,5925636,0.078495
ipp-usb,5911910,0.078313
qemu-user-static-m68k,5839107,0.077349
gtkmm3.0,5782257,0.076596
lua-posix,5712481,0.075671
qemu-user-static-hppa,5677092,0.075203
xorg-x11-server-Xorg,5661761,0.075000
qemu-user-static-alpha,5599048,0.074169
device-mapper-multipath-libs,5591811,0.074073
xfsprogs,5571926,0.073810
libqmi,5570949,0.073797
qemu-user-static-loongarch64,5549022,0.073506
gnome-system-monitor,5535202,0.073323
python3-crypto,5533567,0.073301
qemu-user-static-cris,5532401,0.073286
qemu-user-static-or1k,5515083,0.073057
grub2-common,5484886,0.072657
bluez,5458777,0.072311
qemu-user-static-nios2,5441980,0.072088
gtksourceview5,5437046,0.072023
openexr-libs,5420441,0.071803
shared-mime-info,5415413,0.071736
kbd,5401257,0.071549
grilo-plugins,5365307,0.071073
suitesparse,5283101,0.069984
clutter,5282738,0.069979
groff-base,5272932,0.069849
fedora-workstation-backgrounds,5257885,0.069650
gsettings-desktop-schemas,5139411,0.068080
nm-connection-editor,5121780,0.067847
ibus-typing-booster,5121212,0.067839
tcl,5118281,0.067800
nvme-cli,5095306,0.067496
libxcb,5082054,0.067320
gnome-keyring,4983782,0.066019
simple-scan,4970557,0.065843
python3-cryptography,4969758,0.065833
words,4959394,0.065696
gnome-maps,4959385,0.065695
elfutils,4920474,0.065180
tslib,4879780,0.064641
python3-libdnf,4845440,0.064186
cups-ipptool,4842922,0.064153
PackageKit,4778946,0.063305
gtksourceview4,4769317,0.063178
ntfsprogs,4758138,0.063030
libuser,4742580,0.062823
colord,4739194,0.062779
exiv2,4698119,0.062235
man-db,4647264,0.061561
adobe-mappings-pdf,4600301,0.060939
python3-blivet,4585144,0.060738
nfs-utils,4570720,0.060547
bind-libs,4566743,0.060494
librsvg2,4515170,0.059811
libreoffice-xsltfilter,4509049,0.059730
nss-softokn,4476163,0.059294
gvfs-client,4463431,0.059126
highcontrast-icon-theme,4451308,0.058965
alsa-utils,4439809,0.058813
gnome-desktop3,4432308,0.058713
julietaula-montserrat-fonts,4354816,0.057687
tpm2-tss,4349990,0.057623
python3-pillow,4349039,0.057610
abrt,4346929,0.057582
gawk,4341610,0.057512
libavfilter-free,4329710,0.057354
openssl-devel,4322313,0.057256
openconnect,4200190,0.055639
gavl,4187393,0.055469
gnome-photos,4175520,0.055312
lvm2,4132851,0.054747
tesseract-langpack-eng,4113088,0.054485
libibverbs,4093875,0.054230
procps-ng,4079323,0.054038
gnome-color-manager,4036231,0.053467
geolite2-country,4033110,0.053425
iproute,4014014,0.053172
poppler,4012761,0.053156
pulseaudio-libs,3988103,0.052829
ppp,3977938,0.052695
gdouros-symbola-fonts,3966348,0.052541
grub2-tools-minimal,3925874,0.052005
lvm2-libs,3924729,0.051990
shim-aa64,3897411,0.051628
rpm,3835115,0.050803
glusterfs-client-xlators,3814060,0.050524
gnome-characters,3782470,0.050105
iptables-nft,3776325,0.050024
pipewire-utils,3765571,0.049881
bison,3765333,0.049878
libselinux-utils,3677300,0.048712
qt5-qtxmlpatterns,3649783,0.048348
source-highlight,3647148,0.048313
folks,3641386,0.048236
sos,3638074,0.048192
svt-av1-libs,3629298,0.048076
NetworkManager-openconnect,3604436,0.047747
gvfs,3586619,0.047511
wireplumber-libs,3574914,0.047356
krb5-libs,3565562,0.047232
osinfo-db,3517694,0.046598
gnutls,3493453,0.046277
google-noto-serif-vf-fonts,3474483,0.046025
appstream,3461985,0.045860
epiphany-runtime,3455883,0.045779
wget,3421025,0.045317
leptonica,3408729,0.045154
libaom,3405493,0.045112
protobuf,3401467,0.045058
stix-fonts,3383246,0.044817
sane-backends,3379662,0.044769
tigervnc-server-minimal,3373381,0.044686
libreoffice-data,3353956,0.044429
