Package Name,Size,Percentage of Total Size
libreoffice-core,330092887,4.3700
firefox,233857107,3.0900
glibc-all-langpacks,228747891,3.0300
java-17-openjdk-headless,221441167,2.9300
edk2-aarch64,216111137,2.8600
kernel-core,135358899,1.7900
kernel-core,133108080,1.7600
ibus,117203416,1.5500
llvm-libs,116716560,1.5400
containerd.io,101168184,1.3400
linux-firmware,99158329,1.3100
cldr-emoji-annotation,98675354,1.3000
gcc,86619817,1.1400
mesa-dri-drivers,84137412,1.1100
docker-ce,77927577,1.0300
kernel-devel,72644982,0.9600
kernel-devel,70856626,0.9300
google-noto-sans-cjk-vf-fonts,64613102,0.8500
geolite2-city,62712603,0.8300
docker-buildx-plugin,62168336,0.8200
docker-compose-plugin,61407998,0.8100
webkit2gtk4.1,60765273,0.8000
webkitgtk6.0,60623532,0.8000
firefox-langpacks,57722650,0.7600
python3-libs,57265389,0.7500
gnome-user-docs,56056706,0.7400
libpinyin-data,51446292,0.6800
glibc-gconv-extra,51442372,0.6800
podman,50273088,0.6600
qt6-qtdeclarative,49002825,0.6400
kernel-modules,47443156,0.6200
kernel-modules,47159260,0.6200
guile22,46403113,0.6100
iwlwifi-mvm-firmware,43894286,0.5800
ibus-libzhuyin,42306970,0.5600
qemu-user-static-mips,39184962,0.5100
libicu,37910967,0.5000
mesa-vulkan-drivers,37730376,0.4900
unicode-ucd,34844147,0.4600
frei0r-plugins,33550569,0.4400
kernel-modules-core,32377635,0.4200
ImageMagick-libs,32050948,0.4200
kernel-modules-core,32005704,0.4200
docker-ce-cli,31979323,0.4200
hplip,31112910,0.4100
binutils,30758909,0.4000
flite,29792512,0.3900
gutenprint,29420134,0.3800
cpp,29380495,0.3800
speech-dispatcher,28717825,0.3800
graphviz,28663497,0.3700
libreoffice-help-en,28650461,0.3700
libreoffice-calc,28182071,0.3700
qt6-qtbase-gui,27918068,0.3600
anthy-unicode,27676735,0.3600
gstreamer1-plugins-bad-free,27092615,0.3500
libvirt-libs,26395279,0.3400
qemu-system-aarch64-core,25898940,0.3400
amd-gpu-firmware,25734929,0.3400
gnome-backgrounds,25515937,0.3300
qt5-qtbase-gui,25362862,0.3300
systemd,25266842,0.3300
libgs,25210282,0.3300
qemu-user-static-xtensa,24442756,0.3200
util-linux,24403609,0.3200
gnome-control-center,23842064,0.3100
libgweather4,23411205,0.3100
httpd-core,23065600,0.3000
openblas-openmp,23020540,0.3000
atheros-firmware,22857583,0.3000
sane-backends-drivers-cameras,22602345,0.2900
gtk3,22340629,0.2900
git-core,21835859,0.2800
coreutils,21788178,0.2800
mythes-en,21736328,0.2800
qemu-user-static-ppc,21587632,0.2800
javascriptcoregtk4.1,21435918,0.2800
javascriptcoregtk6.0,21433076,0.2800
sane-backends-drivers-scanners,21193080,0.2800
gtk4,21179849,0.2800
samba-client-libs,20965212,0.2700
qt5-qtdeclarative,20565955,0.2700
